Tanggal Tanam,Jenis Bibit,Catatan Cuaca,Tanggal Panen Aktual
2024-04-03,Pandan Wangi,Berawan,2024-08-03
2024-02-27,Mekongga,Normal,2024-07-01
2024-04-21,Mekongga,Hujan Ringan,2024-08-24
2024-01-03,IR64,Hujan Ringan,2024-04-22
2024-04-28,Pandan Wangi,Hujan Ringan,2024-08-27
2024-03-31,IR64,Sering Hujan,2024-07-31
2024-04-27,Ciherang,Berawan,2024-08-22
2024-01-20,IR64,Normal,2024-05-29
2024-04-26,Mekongga,Berawan,2024-09-03
2024-01-13,Inpari 32,Panas,2024-05-22
2024-02-11,Pandan Wangi,Berawan,2024-06-08
2024-02-25,Mekongga,Hujan Ringan,2024-06-25
2024-04-19,IR64,Panas,2024-08-24
2024-02-13,IR64,Hujan Ringan,2024-06-04
2024-04-04,Ciherang,Sering Hujan,2024-08-04
2024-01-15,Ciherang,Sering Hujan,2024-05-04
2024-04-07,Pandan Wangi,Berawan,2024-08-10
2024-03-08,Ciherang,Berawan,2024-07-11
2024-01-24,Ciherang,Berawan,2024-05-23
2024-01-29,IR64,Hujan Ringan,2024-05-24
2024-04-12,Inpari 32,Normal,2024-08-13
2024-02-08,IR64,Hujan Ringan,2024-06-06
2024-04-19,Pandan Wangi,Normal,2024-08-14
2024-03-18,Inpari 32,Berawan,2024-07-07
2024-03-23,Inpari 32,Sering Hujan,2024-07-14
2024-01-06,Ciherang,Sering Hujan,2024-05-05
2024-01-12,Pandan Wangi,Berawan,2024-05-18
2024-02-21,Ciherang,Panas,2024-06-24
2024-01-25,Pandan Wangi,Hujan Ringan,2024-05-22
2024-01-27,IR64,Normal,2024-05-22
2024-04-28,Mekongga,Sering Hujan,2024-09-01
2024-01-03,Mekongga,Sering Hujan,2024-04-26
2024-01-10,Inpari 32,Normal,2024-05-04
2024-03-06,IR64,Sering Hujan,2024-07-11
2024-02-17,Pandan Wangi,Panas,2024-06-08
2024-03-17,Pandan Wangi,Normal,2024-07-07
2024-03-26,Pandan Wangi,Sering Hujan,2024-07-20
2024-01-17,IR64,Sering Hujan,2024-05-12
2024-01-27,Mekongga,Panas,2024-05-16
2024-01-13,IR64,Berawan,2024-05-09
2024-01-28,Ciherang,Berawan,2024-05-19
2024-01-06,Mekongga,Normal,2024-04-30
2024-02-27,Inpari 32,Sering Hujan,2024-06-23
2024-04-12,Pandan Wangi,Panas,2024-08-20
2024-03-22,IR64,Sering Hujan,2024-07-13
2024-02-05,Pandan Wangi,Sering Hujan,2024-06-03
2024-01-04,Pandan Wangi,Berawan,2024-05-08
2024-04-19,Mekongga,Berawan,2024-08-11
2024-03-12,Inpari 32,Sering Hujan,2024-07-04
2024-02-27,Inpari 32,Berawan,2024-06-28
2024-03-11,Mekongga,Normal,2024-06-29
2024-03-13,Ciherang,Hujan Ringan,2024-07-11
2024-04-29,Pandan Wangi,Panas,2024-08-22
2024-03-08,Mekongga,Berawan,2024-07-08
2024-02-18,Pandan Wangi,Hujan Ringan,2024-06-20
2024-02-09,Mekongga,Sering Hujan,2024-06-03
2024-04-23,Inpari 32,Berawan,2024-08-18
2024-02-26,IR64,Normal,2024-07-01
2024-02-28,IR64,Hujan Ringan,2024-07-03
2024-04-26,Ciherang,Normal,2024-08-24
2024-01-18,Inpari 32,Hujan Ringan,2024-05-21
2024-03-10,Pandan Wangi,Hujan Ringan,2024-07-16
2024-01-12,Pandan Wangi,Normal,2024-05-15
2024-03-05,Pandan Wangi,Sering Hujan,2024-07-03
2024-01-29,IR64,Panas,2024-05-18
2024-02-27,Inpari 32,Sering Hujan,2024-06-29
2024-01-03,IR64,Normal,2024-05-04
2024-04-29,Pandan Wangi,Sering Hujan,2024-08-17
2024-01-11,Inpari 32,Panas,2024-05-19
2024-03-17,Pandan Wangi,Normal,2024-07-14
2024-03-21,Pandan Wangi,Sering Hujan,2024-07-11
2024-02-24,Ciherang,Panas,2024-07-02
2024-03-24,Ciherang,Berawan,2024-07-24
2024-02-05,IR64,Panas,2024-06-06
2024-04-28,Pandan Wangi,Sering Hujan,2024-08-31
2024-03-08,Mekongga,Normal,2024-06-29
2024-01-19,IR64,Hujan Ringan,2024-05-15
2024-01-09,IR64,Normal,2024-05-09
2024-01-23,Pandan Wangi,Hujan Ringan,2024-05-30
2024-04-08,Inpari 32,Panas,2024-08-07
2024-03-12,Ciherang,Hujan Ringan,2024-06-30
2024-02-12,Inpari 32,Sering Hujan,2024-06-16
2024-04-11,Ciherang,Sering Hujan,2024-08-12
2024-01-18,IR64,Normal,2024-05-10
2024-03-14,Mekongga,Sering Hujan,2024-07-15
2024-03-13,IR64,Hujan Ringan,2024-07-09
2024-01-25,Inpari 32,Normal,2024-05-30
2024-01-04,Mekongga,Berawan,2024-05-08
2024-01-03,Mekongga,Sering Hujan,2024-05-07
2024-02-23,IR64,Hujan Ringan,2024-06-18
2024-03-26,Inpari 32,Hujan Ringan,2024-07-20
2024-02-23,Pandan Wangi,Normal,2024-06-17
2024-03-31,Mekongga,Panas,2024-08-02
2024-01-17,Inpari 32,Berawan,2024-05-08
2024-04-21,Ciherang,Normal,2024-08-11
2024-02-05,Inpari 32,Normal,2024-05-26
2024-02-05,IR64,Sering Hujan,2024-05-30
2024-04-20,Inpari 32,Berawan,2024-08-26
2024-01-30,IR64,Hujan Ringan,2024-05-22
2024-04-12,Mekongga,Normal,2024-08-13
2023-05-25,Ciherang,Sering Hujan,2023-09-20
2023-05-27,Pandan Wangi,Panas,2023-10-03
2022-03-14,Ciherang,Berawan,2022-07-12
2024-12-30,Ciherang,Sering Hujan,2025-04-25
2023-09-24,Ciherang,Normal,2024-01-16
2024-05-11,Inpari 32,Sering Hujan,2024-09-07
